"Sample","IL8","CCR2","IL10","HIF1A","ITGAM","TREM1","HLA-DRA","C5AR1","PLAUR","LCN2","NLRP3","IL6","BCL2","CALCA","TLR4","ELANE","NLRP3.1","CCR7","CCL2","MAPK14","TNF","NOTCH1","S100A8","MMP8","MAPK14.1","CCL25","MYD88","CD14","CX3CR1","S100A12","S100A9","IL1R2","P2RX7","HIF1A.1","VCAM1","CCL19","CCR2.1","IL1R2.1","TLR2","CCR2.2","IL1B","CCR2.3","SOCS3","C3AR1","MAPK14.2","HMGB1","CXCL10","MMP9","BCL2.1","TNFSF10","PTX3","PDCD1","ICAM1","ARG1","IL10.1","CX3CR1.1","OLFM4","SOCS3.1","HLA-DRA.1","FCGR1A","IL8.1","IFNG","HMGB1.1","BCL2.2","CCR2.4","VCAM1.1","NLRP3.2","VCAM1.2","BCL2.3","PLAUR.1","HIF1A.2","MAPK14.3","CD14.1","GATA3","PLAUR.2","Label"
"GSM1206458",13.93188517,3.529497778,4.642691133,7.917735661,6.821760311,9.308898609,13.19687041,9.127870417,9.703983274,7.531659597,6.072279501,12.38326922,3.321928095,3.321928095,6.816677317,5.045609187,8.847812464,11.34452053,13.73507681,3.546388836,10.81927229,7.438174935,12.19991675,3.321928095,3.611345773,3.711799096,8.084499783,9.317310316,4.309571503,9.825144788,13.09949528,3.321928095,9.247904052,8.66232206,3.321928095,4.748764822,5.615863046,6.950310975,6.626772543,5.546987275,13.75781888,3.859736028,7.952044247,6.835288136,4.801804438,5.160311534,12.36081623,8.05870518,7.523290161,8.651167434,5.067696265,3.321928095,7.478666706,3.50316637,11.19538511,7.945769342,3.573382546,6.031677326,13.42804219,7.448188963,13.9894369,10.43865559,7.739560915,8.033466929,3.321928095,3.321928095,8.479534985,3.321928095,3.804289517,10.91952722,9.043217775,3.888871715,11.78948499,5.21275478,10.05864983,"Sepsis"
"GSM1206459",13.6228312,4.966727441,3.689074166,7.301895416,6.871689017,9.066056824,13.35314919,9.597168737,9.84257205,6.827173214,4.489825969,11.38658892,3.321928095,3.321928095,7.15152819,3.321928095,7.997568335,11.56510189,13.95059895,3.321928095,10.06066785,7.522454339,12.14083761,3.321928095,4.208826964,3.321928095,8.50243741,9.287463597,4.565051356,9.46312307,13.28626855,3.321928095,9.385760195,8.404690316,3.52419021,3.474282323,6.559364352,7.270813249,6.376524521,6.447723451,13.72692358,4.651177581,7.741840589,6.671750915,4.605040813,4.770539487,12.61565604,7.689627574,8.170395466,8.989464433,4.090078176,3.321928095,6.685375624,3.321928095,10.08696286,7.781224618,3.321928095,5.287187549,13.57564457,7.565138969,14.01678575,8.242689647,7.783783797,8.684891954,3.321928095,3.321928095,7.588257098,3.321928095,4.210859503,10.84000504,8.742100647,4.099078068,11.77756939,5.293408008,9.649709347,"Sepsis"
"GSM1206460",13.95898877,4.627715882,6.389250559,8.31853898,6.04539716,8.690125538,13.42325954,7.200246629,9.583324102,9.174525104,6.019095396,12.83910152,3.472603887,3.321928095,7.84921312,5.454272039,9.235408181,11.56266307,13.95481222,3.603518782,11.45076342,7.910189691,12.26493207,3.321928095,3.321928095,3.321928095,8.201301033,8.970047513,5.116719585,9.365171272,13.05125873,3.321928095,9.603029492,9.064601405,4.150799842,5.364666773,5.771652501,5.890589587,5.829894466,5.719204336,13.84947354,3.321928095,8.636354733,7.143395768,4.639635708,4.500131783,13.3959707,6.20457314,8.290245086,9.434954418,4.231486535,3.321928095,7.427175542,3.954545303,11.30258575,8.495257094,7.558498278,6.509269644,13.50421409,8.022385333,14.07917787,9.845378038,7.663146103,8.620804823,3.321928095,5.780509781,8.801256656,3.321928095,5.006493419,10.88179677,9.426958759,3.404654157,11.60919617,6.123858516,10.08696286,"Control"
"GSM1206461",11.46242173,5.190128066,3.69160012,7.983992267,8.463693962,8.794902994,13.02980962,9.193313684,9.603029492,8.151111447,7.781224618,7.457463685,3.321928095,3.321928095,6.553922376,6.064045587,10.16222119,12.00227584,10.26374707,4.376342639,10.77587007,9.192479477,12.58078154,3.321928095,4.704851248,3.321928095,7.490395737,9.222010383,5.049395124,10.56964411,13.58583727,3.321928095,5.853290421,8.697658403,4.921176002,3.321928095,6.315748693,7.047966511,3.321928095,6.74546049,11.51622592,5.094519576,7.592597039,7.54098986,5.532188871,5.666986943,6.650506853,6.771267337,8.694060837,6.951886977,4.680613472,5.585237578,7.010487783,3.321928095,11.61502875,8.055414699,3.321928095,5.068336891,13.29457865,4.153073814,12.30046735,7.463409139,8.653082908,9.130334822,3.321928095,3.321928095,9.875671963,3.746253555,6.191012549,10.71677439,9.17817244,3.321928095,11.15276928,6.544113935,10.08590744,"Sepsis"
"GSM1206462",13.90415513,3.712698064,6.002453323,7.399241725,6.196048448,9.434954418,13.38238892,9.279562256,9.969374714,8.815533914,6.029685836,12.58786983,3.321928095,3.321928095,7.324953646,5.844187569,8.830726003,11.73651378,13.95898877,3.321928095,10.88544725,7.853351167,12.02733352,3.321928095,3.321928095,3.321928095,8.141056061,9.470778641,4.980774784,9.550539826,13.05533222,3.321928095,9.338920139,8.201811725,4.657553492,3.715658252,5.305353068,7.095929221,6.20873215,5.207052889,13.88437222,3.321928095,8.067756114,7.349975714,4.202876944,4.807599503,12.29624692,7.040413645,8.408697809,8.684891954,5.501627774,3.81387916,7.362757067,3.321928095,10.94207764,8.274236102,6.643887326,5.801468591,13.60889197,7.864726744,14.04505674,7.659546679,7.451474882,8.832539169,3.321928095,6.274443441,8.499064937,3.321928095,4.873419663,11.245025,8.78779947,3.321928095,11.8009811,5.95844244,10.43865559,"Sepsis"
"GSM1206463",13.6454903,4.492824232,4.070760474,7.699463592,6.799333198,9.10722752,12.96216171,9.182700229,10.0361034,7.393253336,5.617721394,11.34853346,3.321928095,3.321928095,6.222860239,4.133790059,8.619512264,11.72083343,13.9894369,3.792539848,10.40252839,8.308689148,12.40911813,3.321928095,4.200853693,3.321928095,8.480265455,10.55942543,4.501186381,9.406523203,13.1632743,3.321928095,8.903423371,8.557275948,3.904860397,4.538151738,5.589600231,5.848314527,6.508247821,5.703842529,13.70198462,3.871484007,7.818605839,7.244450116,4.353642233,4.216568165,11.8757654,7.913142205,7.075160676,8.781871583,4.129011373,3.321928095,7.185290881,3.321928095,11.46490939,7.39730781,3.321928095,5.020232599,13.26898577,6.871236162,14.13594915,7.950288008,7.551829806,7.73994306,3.321928095,3.321928095,8.344922889,3.321928095,3.86649534,11.03916367,8.871267994,4.029937108,12.71543391,5.636382532,10.05538565,"Control"
"GSM1206464",13.6228312,5.142037306,4.474767215,7.906357993,6.845258957,8.733338934,13.37258862,8.631719447,9.590543684,7.214656636,5.438396666,11.47840125,3.321928095,3.321928095,7.043375512,4.175067948,8.514332158,11.51390832,13.80991608,3.321928095,10.59761092,7.874476792,12.35340153,3.321928095,4.349096375,3.321928095,8.561462624,9.646193013,4.333474184,9.625765769,13.29067693,3.321928095,9.392629227,8.800248527,3.485672155,4.574385371,6.33983815,6.643105346,6.096729231,6.480162766,13.49676674,4.691903822,8.313129553,6.666841028,4.591606703,4.934372791,13.03529711,7.076254333,7.426380027,8.894439408,3.969220217,3.321928095,7.39095849,3.321928095,11.09168015,7.544071041,3.868961644,5.973318264,13.61274807,7.847094408,14.05437373,9.567298112,7.7468479,7.675255797,3.321928095,3.321928095,8.090798662,3.321928095,4.730965802,10.70022284,8.89781298,3.685534691,12.10690309,4.883066822,9.802704376,"Control"
"GSM1206465",12.33098648,7.060253043,3.321928095,8.884493326,7.796413428,8.533001467,13.04551543,9.017885868,9.642455266,9.63216939,5.395092327,7.795650694,3.321928095,3.321928095,7.707289429,6.97143613,8.6468006,12.05535825,13.86294243,3.321928095,11.29808503,9.465880437,11.98820085,3.321928095,3.40249768,3.321928095,7.558498278,9.795787034,5.231763321,10.06359035,12.91446592,3.321928095,7.689337237,9.562563817,4.299609334,3.321928095,8.180214909,8.024991187,5.798461964,8.200762002,12.32699311,6.445749829,6.746140895,7.386173627,3.963499535,5.47499875,12.42035146,7.576558133,9.081849485,8.232896351,3.321928095,5.03638783,7.11982988,4.918485202,11.63952717,8.157173928,7.793994401,3.321928095,13.33302322,6.086921368,13.29992201,10.16222119,8.314894905,9.652956706,3.321928095,5.204576338,8.246144423,3.321928095,5.212124245,10.36741921,10.13655953,3.321928095,11.94086706,6.979107139,9.717772906,"Sepsis"
"GSM1206466",12.14860962,6.644500292,3.321928095,7.677256954,7.289854158,8.197815607,13.02431229,8.962813814,9.812796877,8.463142305,4.553137845,6.638366663,3.321928095,3.321928095,5.469338962,5.664679256,7.83605921,12.04879297,11.25924407,3.321928095,9.92139984,9.279562256,11.02219955,3.321928095,3.321928095,3.321928095,7.737808085,9.253620571,5.389547952,9.25767911,12.59880274,4.139304907,4.783188206,8.581114404,3.321928095,3.321928095,7.855616132,8.12261591,3.608114604,7.95279907,10.98360568,6.325926537,6.374094009,7.251305091,4.393149549,4.210245733,8.835666924,6.934046738,7.678421354,7.505317109,3.321928095,3.321928095,6.311149523,3.321928095,11.06130341,8.388485504,3.321928095,4.358964556,13.20504543,4.621070013,13.12618028,8.885792303,8.185275561,8.09353728,4.380317572,3.321928095,7.582946203,3.450255421,3.945291716,10.41884028,9.107775498,4.136820521,11.62903693,6.736982133,9.464956947,"Sepsis"
"GSM1206467",14.16340757,4.984541765,6.492716515,7.395988263,6.452483535,9.366717622,13.13517209,9.23244764,10.01354528,9.082620761,6.368159819,12.63105417,3.321928095,3.321928095,6.725665598,6.262852968,9.304244562,11.62632981,13.90911498,4.790762539,10.51990436,8.214442595,12.68493102,3.321928095,3.647401713,3.321928095,8.328740778,10.07712723,4.293997719,9.474699452,13.14423667,3.321928095,7.905005716,8.110171312,3.892810743,3.321928095,5.508733965,7.715843877,6.576720249,5.872728931,13.88038143,3.321928095,8.023732179,7.697001664,5.10504106,3.653973752,11.12415248,6.860410766,8.191173231,7.760023644,5.596075924,4.786053746,6.857600164,4.367040375,11.03171171,7.364678849,8.261366394,4.992122347,13.37258862,6.484044672,14.09217735,6.1707028,7.726805763,8.555127268,3.321928095,4.748764822,9.042523675,3.321928095,3.815921652,11.38447397,8.4985853,3.537273056,12.51366575,5.842695373,10.45757693,"Sepsis"
"GSM1206468",13.47838672,6.002071524,5.334775082,7.541320059,6.873877985,9.052260834,13.21853438,9.7889842,9.869572245,9.525114062,5.723505319,8.320751616,3.321928095,3.321928095,7.444506238,6.482395224,8.683654457,11.54583623,13.95059895,3.321928095,9.395133333,8.172886323,13.11720471,3.321928095,3.321928095,3.321928095,8.555127268,10.80763717,3.858668942,9.308898609,13.5680271,3.321928095,8.297724371,8.756215931,3.321928095,3.321928095,7.166950388,8.213949498,6.940448642,7.210889275,13.13033957,5.786283091,6.83896383,8.005945499,5.518234719,3.321928095,11.94591404,6.158280757,8.531119051,8.3419779,3.321928095,4.336388408,6.623180056,3.887188272,10.60880134,7.411614473,8.156243572,4.588396368,13.42804219,8.521138605,14.02592263,7.983992267,7.44781565,8.901457121,3.321928095,4.729586839,8.212967139,3.321928095,4.199542202,10.54043303,8.404690316,4.189828926,12.90997716,6.404437861,9.975858906,"Sepsis"
"GSM1206470",13.86294243,3.642863837,3.715486976,6.737450864,6.731016627,9.485945751,13.14423667,10.15690028,10.2907728,7.824174175,5.766469656,10.41713987,3.321928095,3.321928095,6.402278688,5.379605368,8.772591035,11.60352164,13.87342438,3.346321482,9.889663073,7.98938641,12.44875228,3.321928095,3.321928095,3.321928095,8.453256979,10.97091001,4.571447435,8.878460045,13.14965473,3.321928095,7.653940665,7.924525242,3.321928095,3.321928095,5.517849066,7.234205014,6.661028425,5.145862701,13.66730007,4.14631481,6.813702056,6.99955663,4.678918113,3.763179585,8.363687372,7.946805195,7.43114491,7.528913065,3.321928095,3.321928095,6.320598255,3.321928095,10.82996169,7.455791135,4.174742024,4.732704209,13.35794027,5.066550058,14.00505411,6.003916791,7.564638686,7.845799539,3.321928095,3.321928095,8.302425222,3.579372591,4.118037704,11.28063447,8.009472209,3.646686685,13.06915948,5.703353971,10.17482121,"Sepsis"
"GSM1206471",12.60379257,6.625148001,5.215367244,7.791450064,7.167373151,8.759528804,13.19687041,8.648412394,9.523573315,9.071282477,5.148812306,8.661802151,3.321928095,3.321928095,7.633642084,5.817558623,8.227225448,11.38447397,13.79126089,3.321928095,9.38399548,8.237480019,13.05533222,3.321928095,3.68514838,3.321928095,8.592662896,10.71517237,4.484934649,9.461666576,13.55778337,3.321928095,9.455429428,9.164503475,3.321928095,3.321928095,7.383231929,6.98478019,6.983367677,7.461233255,12.88803256,5.80949978,7.55715796,8.245339459,5.084158768,3.558589675,12.8353635,5.070744183,8.351864209,9.235408181,3.321928095,4.316356717,6.783747999,3.44370224,11.62038763,7.589516308,8.529692744,4.471085906,13.40086362,9.564125953,13.36750259,8.094846676,7.474646141,8.699459662,3.592632928,3.72080727,7.894859937,3.321928095,3.765817596,10.13858452,8.729585101,4.713432845,12.78588922,5.815633109,9.378802046,"Sepsis"
"GSM1206472",12.66962928,5.877272843,3.321928095,7.098366557,6.833870005,8.458951792,13.36151499,8.817071214,9.82999442,7.519078492,5.406383612,9.795787034,3.321928095,3.321928095,6.498761003,4.804682161,8.120654838,11.8009811,13.76792592,4.289125611,10.45502127,8.570094421,12.83910152,3.321928095,4.064015625,3.321928095,8.542611869,10.07829619,5.355920749,9.439312563,13.43312858,3.321928095,9.678298215,8.124541093,3.321928095,4.596112676,6.906567363,6.256926569,5.998943002,6.976374629,13.1632743,5.677713061,7.569642719,7.622652042,4.90665502,3.899284363,13.00873801,7.143770455,7.552687376,9.040652124,3.321928095,3.321928095,7.096290481,3.321928095,11.03916367,7.90760948,4.320648597,5.127058305,13.45052565,8.520554637,13.47434099,8.203913859,7.318906741,7.963346351,3.635560409,3.321928095,7.986703512,3.321928095,4.335664843,10.57266955,8.148303728,3.321928095,12.61950153,5.800664586,9.485220316,"Control"
"GSM1206473",11.02417816,7.692877255,5.906713338,8.194572197,7.51419608,9.132528782,13.02980962,9.55800341,9.680930058,7.754745446,4.609505958,8.680516101,3.321928095,3.321928095,7.419322941,5.008524212,8.189728545,11.76241108,13.88811555,4.978056995,9.175313467,8.47193835,13.49180541,3.321928095,4.16567084,3.321928095,9.035231294,11.88190222,4.441320978,9.753610941,13.69447461,3.321928095,7.344385605,9.063869124,3.321928095,3.321928095,8.480265455,8.123632949,6.901413498,8.464530149,12.64919929,7.048204827,8.922372755,7.859788688,5.528296123,3.321928095,10.48622812,5.002754753,7.457062831,9.045272086,3.321928095,3.740665548,6.146018858,3.321928095,11.06130341,7.414040411,5.002109998,5.134448325,13.11720471,9.33471901,12.2036062,9.211108864,7.83999329,7.812821512,4.812050047,3.321928095,7.742738997,3.321928095,3.321928095,9.973264446,9.338166584,3.791079125,13.65860692,4.935183464,8.817660236,"Sepsis"
"GSM1206474",13.86058195,5.238759121,5.639055246,7.733693788,6.59423829,8.469914296,13.47434099,8.326906981,9.852698113,9.36311052,5.904551872,12.03919811,3.321928095,3.321928095,7.583689907,5.675025873,8.822728459,11.56266307,13.86982262,4.108147781,10.86975717,8.260863553,12.72400913,3.321928095,4.118037704,3.321928095,8.785483153,9.50598176,5.403103569,9.315387338,13.26365764,3.321928095,9.516792606,8.852996581,3.939315819,4.58989415,5.864251591,6.092554151,5.977629397,5.817962475,13.89246064,4.090078176,8.192365058,7.511603104,4.888337155,4.010225319,12.84845936,6.442293693,7.946241912,9.490512235,4.205565664,3.865178561,7.382296155,4.374239313,10.93781293,8.374188088,7.636386502,5.756189655,13.61932479,7.981040195,14.00505411,7.635451628,7.237444337,8.357955815,3.466117532,5.451259033,8.36577569,3.321928095,4.034708564,10.9055474,8.464144864,3.625551343,12.18322358,5.979771401,9.974204534,"Control"
"GSM1206476",13.86294243,5.064894317,6.97946024,8.148961361,6.681068536,9.247904052,13.43312858,8.404189492,9.640787725,9.119340567,7.147627692,13.3043219,3.321928095,3.321928095,7.946805195,5.66004148,9.766197233,11.48601331,13.78510478,3.771107613,11.72083343,7.833452129,12.31180198,4.097647243,3.321928095,3.321928095,8.203451753,9.376435926,3.682977546,9.088528696,12.97047315,3.321928095,9.653695173,8.952121643,3.644517171,4.440316495,5.400272053,7.918563161,7.197412918,5.919552389,13.80991608,3.755280415,8.642449688,7.960857996,5.440241037,4.207131079,13.34341348,5.698493987,8.544575268,8.636908392,4.926760915,4.29996555,7.936467411,4.919647743,11.31390464,7.283592768,8.232114307,6.1715452,13.55493595,8.86026761,13.99792779,9.025985292,7.434704123,8.882706594,3.524553534,5.207052889,9.288199992,3.321928095,4.153958432,10.98587331,8.852290239,3.970551777,11.79468806,5.938264379,10.36623823,"Sepsis"
