"Sample","TLR4","CX3CR1","HMGB1","HMGB1.1","HIF1A","CD14","MAPK14","ICAM1","ICAM1.1","TNFSF10","TNFSF10.1","CXCL8","S100A8","S100A9","BCL2","BCL2.1","VCAM1","MMP9","CXCL10","TLR2","IL1B","IL6","IL1R2","CRP","ITGAM","S100A12","CX3CR1.1","PTX3","ARG1","CCR7","SOCS3","SOCS3.1","ELANE","CCR2","CCL25","BCL2.2","BCL2.3","NLRP3","P2RX7","TNF","MMP8","IL10","PDCD1","CCR2.1","IFNB1","IFNA1","HLA-DRA","MYD88","GATA3","GATA3.1","GATA3.2","C3AR1","CCL19","IFNG","MAPK14.1","CALCA","CALCA.1","PLAUR","HLA-DRA.1","MAPK14.2","IFNA2","IL1R2.1","CXCL8.1","MAPK14.3","LBP","PLAUR.1","LCN2","OLFM4","SOCS3.2","TNFSF10.2","S100A8.1","LBP.1","PLAUR.2","HMGB1.2","ICAM1.2","NLRP3.1","NLRP3.2","CCL2","FCGR1A","CALCA.2","CALCA.3","NOTCH1","TREM1","CD177","C5AR1","TLR4.1","NOTCH1.1","TLR4.2","HMGB1.3","HMGB1.4","SOCS3.3","P2RX7.1","ARG1.1","ARG1.2","ARG1.3","MMP8.1","TLR4.3","CRP.1","IL1B.1","Label"
"GSM712478",7.028317586,8.517839224,7.475924014,10.65428249,9.073875814,11.27715614,9.228566382,6.894873285,6.430494361,9.508852537,10.53550862,5.38204641,14.57218634,14.18840078,5.246070863,6.36445649,3.530091859,10.18386441,5.560857312,10.10416208,8.258180107,4.600832008,9.096980624,4.479628829,9.403098352,12.97397399,10.98260793,3.681909309,6.39353539,7.751162101,5.743288295,6.443627101,5.736376651,8.98233846,3.927078375,6.818844391,5.231672379,6.251624667,5.606853349,5.99319323,4.33702866,3.20841896,6.519046924,5.596822508,4.739329958,2.591402044,10.60323436,11.22839078,3.914342167,4.199531494,8.133886228,8.867145338,4.38485568,3.688048523,7.221336664,4.739999177,4.336169079,8.298676937,10.38720575,4.851988305,3.013039139,8.363994514,4.370770457,7.608351431,4.806858228,7.495850064,7.658112586,3.430043542,5.492851829,7.615743111,8.77977088,3.768233715,6.765539042,10.65410328,5.508697359,4.664704646,5.04138298,3.458362838,3.703706803,5.577731107,3.844335114,7.687060181,9.714569004,8.560210513,10.13772213,6.894873285,5.970007588,6.845916002,8.185981134,5.040500634,6.959394121,6.474880962,2.987267628,3.54812822,2.367126887,5.437706761,5.822666511,2.994702637,8.315541487,"SEPSIS"
"GSM712479",7.481466811,8.689497372,7.789523748,10.88748418,9.683862272,11.13465959,9.382829545,6.859574999,6.426915612,9.656974475,10.99263319,5.849441557,14.61797872,14.30590219,4.937480552,6.877371327,3.235864726,9.990131344,5.826629553,10.29371221,8.510495879,4.807770744,9.410430051,4.038228085,9.367451391,13.20317893,11.19596837,3.838779358,6.907811944,7.731166078,6.106293772,6.60560223,5.868960741,9.724022463,4.196045645,6.746381718,5.151122984,6.211776521,5.418534562,5.969965177,4.170192847,3.388109264,6.379167297,6.15916308,3.793441716,2.626732475,11.08843543,11.52778521,3.521325246,4.350305128,7.966594168,8.925367123,4.465390825,4.468404657,7.028610591,4.449324178,4.327427506,8.426174531,10.93116371,5.124379184,3.226603445,8.281656086,4.130230166,7.212320994,4.535539091,8.319506862,7.253002717,3.738871102,5.138776396,8.471693826,8.270897874,3.917328518,6.599981039,11.32839017,5.830245793,4.25566404,4.33902731,3.115715873,3.29089144,5.450634593,3.580438549,7.785138269,9.86020606,8.661968166,10.1680663,7.370262851,5.805602167,7.769451713,9.395396489,6.205153899,7.51812411,7.329324438,3.069619609,3.3683094,2.553933135,6.080535734,6.405750099,3.317529657,8.361627185,"SEPSIS"
"GSM712480",7.770269268,6.675192429,8.603080826,11.67771561,10.90001655,11.0977702,11.22562895,6.718494038,5.521613278,10.40293894,11.56011327,4.202517149,14.87156084,15.0456709,4.449626869,5.317843884,3.31607128,12.92389019,5.198420485,11.12122848,7.157139804,4.831096771,13.04722109,4.111953012,11.04120403,14.41325735,9.913224667,4.295826368,11.28989541,5.881497899,6.843257283,5.850261414,8.266917684,9.687319679,3.832579776,6.144363484,4.622277486,6.516801565,5.052237207,5.903999046,10.27601355,4.313689965,6.175409873,6.043450641,3.926053288,3.054471264,9.492698712,11.95499987,3.182462045,3.850463115,5.93938134,10.09159141,4.426688504,3.687034759,9.431061994,4.276286761,4.027631065,8.526023214,9.402217812,6.776960182,2.850986403,12.47645463,3.477902794,9.440435625,5.092872689,7.664646129,12.8821314,9.294597001,4.346519772,9.621166844,6.609381645,3.04017795,6.750298316,11.94677839,5.412585651,4.130906724,4.100904752,3.182462045,4.383237854,5.414132343,3.288446491,7.817720408,9.274932198,13.48702458,10.98432812,7.924459773,5.607327914,8.924905733,10.19134518,7.063646609,8.448372143,6.914885909,3.112809544,3.879491379,2.477138561,12.05709444,8.115701542,2.821470593,7.34887352,"SEPSIS"
"GSM712481",6.296323526,4.664048377,8.148266745,11.36744953,11.70273223,9.029827848,11.1088817,6.616935028,6.020953639,9.611102264,11.1767473,4.165948724,14.96349114,15.01536689,4.924283605,4.747839674,3.376805895,14.10174394,5.050615573,11.39758952,6.832822639,4.769848802,13.98435812,4.547660301,11.3478791,14.47703926,7.053266782,6.504626676,12.53793232,6.942050394,6.761359631,5.730159239,7.50165652,6.861751183,3.906961191,6.500095358,4.733012726,6.536319551,5.035723426,5.868465718,11.50460228,4.428269747,6.361340321,4.665022339,3.845066095,2.935385556,7.544953835,11.75655535,3.280285013,3.908106722,5.942908191,9.607069266,4.619530565,3.588374931,8.950160245,3.983114856,4.048743803,7.842601831,7.58691557,6.425436932,3.097130092,13.52582572,3.703335327,9.492475298,5.009081051,7.149545834,14.22645065,12.7544165,4.855312063,9.192191146,7.142047002,3.312846695,6.13067131,11.73715279,5.39773088,3.756590333,4.187288899,3.372769336,3.969903381,5.519151753,3.5634406,7.847662861,8.68927193,13.43798098,11.03859424,5.025640356,5.685379068,6.78194741,9.987446128,6.546149184,9.15836417,4.200800396,3.26815326,4.227600553,2.947408794,14.10132563,5.013256932,2.973376997,7.129098683,"SEPSIS"
"GSM712482",8.154438701,6.245105972,8.793691705,11.36435058,11.32822658,11.54428935,11.28456481,6.987777166,6.526172539,10.08645931,11.21485698,4.703069863,14.87849314,14.87369375,4.394437031,5.33378182,3.269364051,12.85639682,4.807415995,12.01685835,8.287966737,4.279324375,13.91331369,4.494177729,11.24445567,14.49633179,8.747305226,4.512683241,12.24750821,6.760337475,7.275766732,6.011078919,7.454884373,9.212346688,3.632706674,5.183695891,4.312665511,6.782931128,4.969057876,5.980761874,11.60191326,4.328441384,5.761527282,6.337762547,3.753681633,2.700831872,9.59289792,11.9545535,3.179985577,3.74880882,5.682913157,11.17174344,4.145179536,3.218687636,9.634668561,4.094053584,4.035109121,9.323991833,9.449055102,7.033056487,2.826920748,13.65416442,3.348622342,9.763378824,4.96640479,8.692393327,12.111762,6.849501304,4.269404629,9.564251181,6.661953273,2.93969101,7.098850611,11.72657354,5.587971236,4.460467268,4.169449494,2.654874556,4.554670611,5.127230006,3.401656708,7.819742794,9.693507531,12.75738797,11.43192852,8.549175659,5.192684098,9.300249459,10.06613833,7.098832192,9.144282213,6.250460747,3.522991869,3.994679514,2.627684069,13.41165947,8.393991288,2.957310745,8.513407052,"SEPSIS"
"GSM712483",8.575928205,5.786683384,8.0597636,10.9282757,10.77519384,11.10758104,11.48694297,8.067684735,7.453853466,10.42765662,11.84774556,4.782959918,14.78135527,14.83450348,4.680941176,4.113467173,3.360908667,11.6878684,5.903799285,11.8405672,9.162430359,4.902934796,13.17240638,4.386051098,10.71084646,14.1734125,8.405383778,3.69758622,10.74024744,5.413889444,7.874035802,7.028572074,5.605454644,7.742647404,3.826285747,6.399412009,4.813671904,5.779689703,5.00477905,6.652625217,10.3867643,3.981221221,6.348539977,6.205052768,3.958311083,2.902288298,9.480032945,12.18774575,2.900695228,3.950020932,5.807774443,8.627324727,4.453076422,3.327561569,10.05238782,4.500613823,4.140732856,9.62248976,9.324931741,7.993942905,2.961490253,12.75914396,3.803277713,10.30603825,4.930672374,9.028579252,10.96208717,8.025958359,4.844919265,10.11154241,7.314772411,3.03407317,7.072651312,11.41669668,6.390369562,4.084951287,3.800866097,3.525865883,4.475768832,5.487463108,3.260657621,7.925987778,8.886207763,11.42096248,10.96265007,8.933482584,5.925913682,9.210854715,9.693865904,6.446893547,9.758571741,5.617506377,3.098504222,3.795204078,2.800456702,11.50800037,8.429992843,3.11845447,9.101899276,"SEPSIS"
"GSM712484",6.567701323,5.452386513,8.449896876,11.29379235,10.84617916,9.425329455,10.38803091,6.694472184,5.176568368,8.597066217,9.99869547,3.921782937,14.8718833,14.80074715,4.64613181,4.690240022,3.464153303,13.31926041,5.156338658,10.31132696,6.978892372,4.752896811,13.72149444,4.756745659,10.31584639,14.26830125,6.380885947,6.069304441,11.858187,5.611024588,6.503135341,6.317635214,10.60061389,8.922734314,4.276516024,6.755308953,4.92888284,5.859204806,4.565242389,5.422905397,12.37831544,3.771648032,6.618270945,6.044676861,4.133050074,2.763448382,9.06236656,11.42068176,3.029109674,4.206104376,4.859981349,9.946565408,4.358655332,3.740121189,8.239606268,4.487848506,4.191273988,8.2633603,8.894632886,6.285946087,2.876613508,13.40516192,3.7574909,8.572555843,4.953954788,7.705673153,13.3930179,12.54919439,5.207925861,7.769063914,8.250907622,3.360165929,7.030640321,11.7629983,5.65918072,4.477328326,3.901065389,3.166368121,4.000222492,5.680232242,3.70898714,7.000155537,8.287818278,12.31783784,10.01138752,6.078810138,6.025427666,6.934347398,10.10234937,6.638116794,8.37768637,5.338025652,3.657031983,3.962506564,2.793573894,13.929186,5.296126357,3.331342761,6.829229558,"SEPSIS"
"GSM712485",7.945540801,8.120553666,7.394688817,11.11308609,11.15626033,9.99353516,10.6263144,6.548298193,5.221517565,9.819766024,11.10423855,5.512064235,14.75218854,14.75496818,4.910419594,6.605604548,3.36353339,12.28326557,5.258081457,10.99369877,7.960576975,4.705583726,12.33634666,4.537171065,10.54395574,14.21316791,10.16555055,3.379155124,8.95994454,7.079623569,5.449489003,6.208657771,5.512064235,9.343122861,3.970425665,6.576528593,4.808554825,6.004427413,5.003588374,5.758997221,4.395580238,3.325729239,5.986077604,5.206451339,4.127762116,3.048653564,7.713820707,11.83167769,4.098492846,3.764215375,7.184634988,9.641781342,4.054690705,3.974965598,7.981384261,4.627167752,4.326668178,9.276475545,7.987463375,5.560339609,2.848189582,10.86761366,3.8578934,8.798786999,4.567090703,7.77121853,7.830200698,4.597557683,4.706189349,9.56935492,8.507273762,3.117234222,6.943839649,11.70692391,5.599258998,3.489066072,4.343664704,3.006110394,3.814523351,5.512064235,3.500579429,8.131065272,9.62591575,11.80383184,10.99228926,5.95844992,5.657306643,8.343581025,10.16733725,6.951071977,7.120232278,7.377967521,3.117718124,3.833512697,2.589665741,7.359085528,7.320094084,3.284136595,8.343987347,"SEPSIS"
"GSM712486",8.431829358,6.36834014,9.224639921,12.06328974,11.90935518,9.062920201,12.09673386,5.916824959,5.797986436,10.33547318,11.83353927,5.571461606,14.9047125,15.16443478,4.373676638,6.194621782,3.374641959,11.76933088,5.264133383,10.98315944,6.337129734,4.566412155,13.83410961,4.298230351,11.61595312,14.57568012,8.849705473,6.073031436,13.55798658,6.802452457,6.524712798,5.494475619,6.692984781,9.164707159,3.543963885,5.933644907,4.483680926,5.385521254,4.956748882,6.064065994,13.70908802,4.209824559,5.771358603,5.540708565,3.63457394,2.759238116,9.898447114,11.58574333,4.041348119,3.694402847,6.513270702,10.47154189,4.024005287,4.162497928,8.832132645,4.088451484,3.86530996,7.177340692,9.494720731,6.569218056,2.919611862,13.70395702,3.533826058,9.091676547,4.574027946,6.492708699,12.20535706,9.455624013,4.224309085,9.506538385,6.085438596,2.815345375,5.803270296,12.30067392,5.409681212,3.598845596,3.940749417,2.929429679,4.797704462,5.258631994,3.37126897,7.715140226,7.052579085,11.88154477,10.79519208,8.23745247,4.70232528,9.390186162,10.76556488,7.174849648,7.891565673,6.648911635,5.16322602,6.125085309,2.91151153,13.59375416,8.396283313,3.047389316,7.648265521,"SEPSIS"
"GSM712487",7.00961169,7.748072227,8.022624127,11.58776823,11.37515965,10.75190631,10.34875836,6.827071641,5.654694137,9.724397418,11.4129114,6.434095541,14.75506996,14.63960655,4.856651469,6.904862606,3.463138511,12.53645062,4.788056567,10.30680199,7.249116954,4.458063871,11.70956223,4.301928862,10.89677353,13.88555058,10.20355046,6.956277834,11.05217545,6.849994699,5.369134399,5.680543776,9.612040155,10.03091452,3.826285747,6.132490446,4.599282152,6.950368311,5.515093414,6.104316448,8.542430793,3.122062681,6.21292457,5.984457888,3.679272777,2.634097851,9.88841753,11.99677699,4.223085445,4.271342995,7.983572856,9.345291674,3.869865122,3.461960732,8.181023474,4.023701993,4.177135026,8.741651281,9.79029281,5.880163645,2.471753216,10.6087719,3.803277713,8.58680982,4.596666792,7.620834521,12.08968865,5.858511435,4.880638134,9.277372719,7.343158883,3.005946007,6.902841429,12.0951443,5.589247199,3.943578129,4.940723006,3.195276906,3.262973238,5.469231977,3.46416898,7.822177199,9.540774826,7.914230191,10.83356017,6.375891109,5.459807323,8.029537749,10.34234744,7.038907065,7.189624221,7.799824582,3.050269194,3.347107456,2.619604557,11.75072235,6.933057328,2.921783152,7.428036245,"SEPSIS"
"GSM712488",7.005070117,8.833484697,7.732124747,11.02406317,9.497494892,9.819153785,8.665676654,6.936278023,5.753165755,9.25897957,10.76153881,5.728343318,13.17944334,13.23919736,5.019773035,7.487582772,3.387603795,9.433336545,5.196384814,9.894841393,7.839126782,4.523768688,8.863804163,4.090484457,8.925367622,10.71076745,11.28680047,3.386206861,5.430457482,9.640862599,5.229217394,5.796927248,5.316273831,8.80326272,3.808080407,6.075703137,4.679917186,5.715643444,5.08660576,6.450281888,3.757126483,3.088080074,6.175409873,5.757483911,4.220575177,2.726048589,11.21659662,11.45130144,5.612462397,4.551243934,9.246469406,7.566999834,4.335369658,3.704470994,6.38323469,4.097651265,4.258739328,8.731621256,10.93405512,4.303736177,3.061282624,7.679598621,3.596687091,6.736746394,4.571569011,8.098341067,7.534232076,3.246092242,4.877867647,8.283143334,6.73994578,3.377535347,6.486609505,11.4859543,5.494127766,3.501370529,3.5996313,3.155915568,2.869166403,5.399271846,3.419088333,7.73558258,8.961868745,5.343056063,10.17561301,6.708811206,5.425372737,7.360032605,9.540146775,6.266425743,6.161146645,6.598883863,2.965530932,3.241057518,2.697647073,3.887575382,5.660628912,2.868926479,7.910104515,"HEALTHY"
"GSM712489",7.332600604,8.261516485,7.880252602,11.28179277,10.39344687,10.7098814,9.220882087,6.848683257,5.955893478,9.685010088,11.15902768,6.675775371,13.49012903,13.74613338,4.955428956,7.561757526,3.00959558,10.7346828,5.065482981,10.62824791,8.252933988,4.536606557,9.722373406,4.300909271,9.011945846,10.94012549,10.89698264,3.987958518,6.855306048,8.87883892,5.236936326,5.815629924,4.621812467,8.888864924,3.619174305,6.186536872,4.404511507,6.662076151,4.944978963,6.065109768,3.724853672,3.100175937,6.190575898,5.459807323,3.64320571,2.435389419,11.0695323,11.86237055,5.399842557,4.420671792,8.912364686,8.353865285,4.169743749,3.653438744,6.527648107,4.328949762,4.215734451,9.256687515,10.81830815,4.017060008,2.825902357,8.413201779,3.882377792,7.015903459,4.931388813,8.176165579,7.325968497,2.876335781,4.652025149,8.811979951,7.515527071,3.110246933,7.156920592,11.61418427,5.575459973,3.783962391,4.648063183,3.004475564,3.074386148,5.415406406,3.081919276,8.260289451,10.06950333,5.883141894,10.96607985,6.27872814,5.547099568,7.839884019,9.652503449,6.613340444,6.207092565,6.938938996,2.803477207,3.539094503,2.491172925,3.960594258,6.685539486,2.792237574,8.454927344,"HEALTHY"
"GSM712490",7.278365605,7.88429237,7.850677349,11.00777062,9.658276086,10.10127295,9.163344396,7.028361011,6.096952795,9.537524887,10.85671906,6.338532315,13.22633241,13.47970515,5.015594233,7.593295052,3.213931288,10.06093273,5.112955384,10.67401467,8.161934568,4.368112715,9.317414467,4.06011657,9.109219143,10.58210493,11.07601782,3.589600808,6.016367201,9.833945123,5.30726074,6.025745122,5.564577562,8.600375945,3.715997029,6.209661116,4.535534904,5.949137827,5.761544151,5.951691868,3.849086291,2.89125946,6.100459266,6.303187973,3.886029095,2.36989105,11.78317603,11.54034293,5.667920605,3.971824222,9.305119406,7.758385196,4.362245474,3.74537276,7.054123777,4.599615297,4.307850098,9.108333986,11.4956153,5.102136838,2.699053049,8.288127565,3.941468096,7.320948277,4.250428365,8.405571202,8.043889925,3.084885689,4.706038397,8.38540461,7.785713666,3.260590632,6.845954716,11.40995385,5.749429669,4.067245087,4.429585107,3.182462045,3.108649159,5.081315024,3.224420871,7.996257096,10.30318446,5.289034306,10.46390038,7.552100078,5.575917955,7.741525018,9.212684823,6.454703439,5.8605722,6.027301637,2.714900629,3.305775636,2.430575527,5.155465603,6.518891666,2.859247086,8.317027582,"HEALTHY"
"GSM712491",7.070639889,7.872421618,8.296128943,11.38188829,10.13654724,10.05864803,9.116126744,7.015850553,5.952480754,9.318274245,10.81317205,7.319135854,13.73184959,13.48976442,5.133171504,7.456791671,2.914343248,8.924525199,5.090984347,10.51937918,8.328075828,4.575839532,9.007147299,4.171666876,9.01744867,10.41783162,11.15747925,3.517548094,6.376186223,9.336495647,5.17725688,5.794577699,4.476888908,8.91152983,3.775609962,6.100469003,4.395769949,5.873257918,5.215953998,6.139518742,3.591719495,2.832127098,6.071368633,6.676374058,3.666863299,2.489867179,12.03512003,11.55762862,5.812649138,4.695831792,9.197041891,7.708026449,4.39727505,3.537696357,7.19355709,4.032593194,4.050026001,9.013447113,11.62754836,5.375682113,2.829298044,8.217958948,3.827364164,7.292910282,4.477700444,8.251960588,5.873800379,2.92341821,4.755404565,8.522096544,7.721749058,3.200671039,6.43526905,11.73370244,5.375653861,4.250237321,3.433272197,3.042198485,3.085300999,5.180988618,3.406330048,7.875937837,10.10286459,5.315964776,10.75431498,7.174845636,5.599866366,7.481294958,10.05370171,6.820237432,5.680807166,6.732750578,2.883500945,3.015587171,2.595570013,3.639454874,6.3477508,2.981005808,8.379638499,"HEALTHY"
