"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"CCR2",0.56755784128031,0.755519203019203,0.881666666666667,0.774,0.776666666666667,0.768630952380952,0.817761904761905
"IL8",0.501640522485652,0.713948995448995,0.837833333333333,0.722,0.763333333333333,0.743261904761905,0.778642857142857
"CCR2.1",0.532950093481974,0.725014097014097,0.861333333333333,0.724,0.785,0.77284126984127,0.788281746031746
"IL10",0.539806096551072,0.730742979242979,0.8525,0.74,0.776666666666667,0.766619047619048,0.801063492063492
"HIF1A",0.517081139344797,0.706805694305694,0.866333333333333,0.688,0.805,0.772123015873016,0.772896825396825
"IFNB1",0.530809511152608,0.717573315573316,0.862333333333333,0.704,0.805,0.775630952380952,0.781222222222222
"ITGAM",0.540975930919148,0.731809412809413,0.861833333333333,0.738,0.778333333333333,0.769496031746032,0.801571428571429
"TREM1",0.494305823204277,0.713668654577746,0.852666666666667,0.706,0.773333333333333,0.739373015873016,0.770837301587302
"IFNA1",0.480997400026607,0.703796758796759,0.830666666666667,0.724,0.738333333333333,0.722837301587302,0.780174603174603
"HLA.DRA",0.529151501085995,0.722066766566767,0.859166666666667,0.73,0.775,0.765757936507937,0.793107142857143
"C5AR1",0.526666217226914,0.722678432678433,0.854,0.738,0.763333333333333,0.757281746031746,0.800059523809524
"PLAUR",0.501663974073467,0.71516761016761,0.840333333333333,0.73,0.751666666666667,0.736190476190476,0.787746031746032
"LCN2",0.473600057525417,0.692966255966256,0.831333333333333,0.698,0.756666666666667,0.7365,0.759964285714286
"NLRP3",0.53270273636087,0.729382728382728,0.861,0.73,0.783333333333333,0.766694444444444,0.789035714285714
"IFNA2",0.558099692260572,0.742675546675547,0.864666666666667,0.766,0.773333333333333,0.756912698412698,0.823063492063492
"IL6",0.48104249328074,0.709755283997708,0.832666666666667,0.726,0.733333333333333,0.721797619047619,0.784603174603175
"BCL2",0.516891835621453,0.728094015972804,0.855833333333333,0.726,0.775,0.745059523809524,0.789400793650794
"CALCA",0.504706730391303,0.716213841713842,0.836333333333333,0.734,0.743333333333333,0.731126984126984,0.783321428571429
"TLR4",0.528416597929052,0.72186741036741,0.862833333333333,0.722,0.786666666666667,0.764853174603175,0.787781746031746
"ELANE",0.445581080769315,0.684596736596737,0.822,0.69,0.741666666666667,0.706928571428571,0.754329365079365
"NLRP3.1",0.469121759958132,0.692621323121323,0.826166666666667,0.708,0.741666666666667,0.725150793650794,0.767174603174603
"CCR7",0.579936588570684,0.752185148185148,0.876,0.744,0.815,0.797392857142857,0.806234126984127
"CCL2",0.531631425253918,0.726864801864802,0.861666666666667,0.736,0.77,0.763333333333333,0.797869047619048
"MAPK14",0.509039962405613,0.721829226329226,0.843,0.746,0.748333333333333,0.727603174603175,0.798130952380952
"TNF",0.494502523701218,0.714713793501672,0.85,0.72,0.753333333333333,0.736265873015873,0.783011904761905
"NOTCH1",0.496828157430053,0.714805805305805,0.854166666666667,0.716,0.765,0.746123015873016,0.767095238095238
"S100A8",0.499525029645578,0.711371739371739,0.858166666666667,0.716,0.761666666666667,0.74809126984127,0.776690476190476
"LBP",0.502418023852965,0.713387112887113,0.834666666666667,0.718,0.761666666666667,0.753595238095238,0.777321428571429
"MMP8",0.50985092384624,0.717710235892054,0.843333333333333,0.718,0.763333333333333,0.739202380952381,0.78097619047619
"MAPK14.1",0.554328746867186,0.727003996003996,0.874333333333333,0.728,0.801666666666667,0.783440476190476,0.802007936507937
"CCL25",0.481842002354425,0.704281385281385,0.8345,0.714,0.751666666666667,0.728404761904762,0.771916666666667
"MYD88",0.49152051424199,0.711357697857698,0.834333333333333,0.734,0.735,0.732507936507937,0.785365079365079
"CD14",0.555369780948824,0.741713508713509,0.863166666666667,0.754,0.781666666666667,0.769170634920635,0.809186507936508
"CX3CR1",0.537188240060892,0.725602730602731,0.866166666666667,0.724,0.79,0.771230158730159,0.793063492063492
"S100A12",0.565596649959195,0.752774780774781,0.849166666666667,0.778,0.768333333333333,0.768428571428571,0.819952380952381
"S100A9",0.58333941155396,0.754207625707626,0.884,0.762,0.801666666666667,0.785742063492064,0.820960317460318
"OLFM4",0.54828123223801,0.736744644244644,0.873,0.734,0.793333333333333,0.77843253968254,0.793821428571429
"IL1R2",0.503782563668622,0.713367854367854,0.841833333333333,0.732,0.753333333333333,0.733265873015873,0.792305555555556
"P2RX7",0.517615118880593,0.714683483183483,0.841166666666667,0.706,0.791666666666667,0.762650793650794,0.77868253968254
"HIF1A.1",0.52064085904292,0.718762515262515,0.867333333333333,0.714,0.786666666666667,0.761178571428571,0.782785714285714
"VCAM1",0.539562505813756,0.721385891885892,0.862166666666667,0.72,0.796666666666667,0.771345238095238,0.795686507936508
"CCL19",0.495229801656364,0.708764790764791,0.8545,0.712,0.76,0.749349206349206,0.773952380952381
"CCR2.2",0.506654629708731,0.716290611745157,0.8555,0.716,0.77,0.743242063492064,0.786321428571429
"IL1R2.1",0.514353372840483,0.725767890919406,0.856833333333333,0.732,0.765,0.739833333333333,0.79347619047619
"TLR2",0.466312089899256,0.69099383949384,0.829166666666667,0.682,0.763333333333333,0.740805555555556,0.749972222222222
"CD177",0.462573661509886,0.69490564990565,0.824,0.706,0.741666666666667,0.71484126984127,0.764543650793651
"CCR2.3",0.56521587476984,0.74703490953491,0.868,0.748,0.796666666666667,0.781785714285714,0.806738095238095
"IL1B",0.544033831189245,0.735633588633589,0.872166666666667,0.744,0.776666666666667,0.766464285714286,0.80425
"CCR2.4",0.544114152290014,0.741588134088134,0.849333333333333,0.77,0.758333333333333,0.745972222222222,0.816761904761905
"CCR2.5",0.545967924906922,0.735109224109224,0.851333333333333,0.738,0.788333333333333,0.769571428571429,0.79884126984127
"CRP",0.522981005373273,0.713522533022533,0.8665,0.702,0.798333333333333,0.767444444444444,0.781579365079365
"SOCS3",0.549911979237943,0.742809412809413,0.871333333333333,0.764,0.768333333333333,0.757400793650794,0.813309523809524
"CCL25.1",0.505639286058458,0.717603951603952,0.845,0.726,0.761666666666667,0.741873015873016,0.784166666666667
"C3AR1",0.504671634328084,0.712907703407703,0.844666666666667,0.72,0.768333333333333,0.738547619047619,0.785198412698413
"MAPK14.2",0.565116915742036,0.728199356199356,0.865666666666667,0.708,0.826666666666667,0.804896825396825,0.795873015873016
"HMGB1",0.548461497366932,0.741744787199333,0.868,0.758,0.768333333333333,0.757142857142857,0.817519841269841
"CXCL10",0.552147312923337,0.736189088689089,0.875833333333333,0.742,0.79,0.767936507936508,0.806900793650794
"MMP9",0.528022143562622,0.717757242757243,0.849666666666667,0.7,0.803333333333333,0.78343253968254,0.773365079365079
"BCL2.1",0.51431655211462,0.707503996003996,0.854333333333333,0.692,0.8,0.768404761904762,0.772821428571429
"TNFSF10",0.548913120521109,0.738777833277833,0.858333333333333,0.75,0.778333333333333,0.765123015873016,0.80722619047619
"PTX3",0.555164151965365,0.735786324786325,0.865666666666667,0.73,0.801666666666667,0.783123015873016,0.798960317460317
"PDCD1",0.55020776231584,0.731201354201354,0.873166666666667,0.72,0.806666666666667,0.793246031746032,0.784325396825397
"CALCA.1",0.483124652202697,0.692956265956266,0.846333333333333,0.69,0.77,0.743865079365079,0.767063492063492
"ICAM1",0.471779020121646,0.686082029082029,0.836166666666667,0.68,0.77,0.738369047619048,0.760079365079365
"ARG1",0.524199399790948,0.727517427017427,0.8455,0.74,0.766666666666667,0.75002380952381,0.794365079365079
"IL10.1",0.530504178551679,0.728877455877456,0.859,0.736,0.776666666666667,0.756134920634921,0.794642857142857
"CX3CR1.1",0.527766960694553,0.730524253524254,0.852333333333333,0.74,0.768333333333333,0.755472222222222,0.794142857142857
"OLFM4.1",0.533313794869245,0.729494838494839,0.863666666666667,0.73,0.785,0.76209126984127,0.791972222222222
"SOCS3.1",0.489374278391238,0.701026418026418,0.848166666666667,0.708,0.761666666666667,0.732642857142857,0.778900793650794
"HLA.DRA.1",0.548377885890536,0.736142968142968,0.866,0.752,0.775,0.761968253968254,0.812107142857143
"FCGR1A",0.556639931253542,0.733556998556999,0.870833333333333,0.736,0.795,0.781686507936508,0.805757936507936
"IL8.1",0.518758912122522,0.71466477966478,0.853666666666667,0.702,0.793333333333333,0.772698412698413,0.773257936507937
"IFNG",0.564579369049281,0.740723554223554,0.868166666666667,0.744,0.795,0.786043650793651,0.808940476190476
"HMGB1.1",0.515899043493771,0.723084693084693,0.853333333333333,0.748,0.748333333333333,0.737400793650794,0.800869047619048
"BCL2.2",0.516111401734819,0.71561593961594,0.852666666666667,0.722,0.77,0.757785714285714,0.787623015873016
"IL1R2.2",0.511395484863837,0.712549839049839,0.851666666666667,0.71,0.778333333333333,0.760365079365079,0.778222222222222
"CCR2.6",0.530115952918806,0.714744422244422,0.864166666666667,0.712,0.798333333333333,0.762857142857143,0.790992063492064
"VCAM1.1",0.556488168367227,0.743668276168276,0.871,0.756,0.78,0.769404761904762,0.810797619047619
"NLRP3.2",0.502025444586154,0.722682262182262,0.8345,0.746,0.741666666666667,0.727861111111111,0.789876984126984
"VCAM1.2",0.55318592917016,0.738152847152847,0.873,0.742,0.795,0.767726190476191,0.804412698412698
"CALCA.2",0.537360922314742,0.730490953490953,0.854333333333333,0.732,0.788333333333333,0.764261904761905,0.793130952380952
"BCL2.3",0.502228617629817,0.716477688977689,0.828833333333333,0.724,0.763333333333333,0.736845238095238,0.781797619047619
"PLAUR.1",0.506421589113938,0.715712009651404,0.844333333333333,0.708,0.778333333333333,0.748503968253968,0.781353174603175
"CCR2.7",0.538568819519875,0.733653957153957,0.858166666666667,0.738,0.778333333333333,0.771678571428571,0.792976190476191
"HIF1A.2",0.56963800838533,0.749653069153069,0.874166666666667,0.766,0.78,0.776809523809524,0.820440476190476
"MAPK14.3",0.538368651317314,0.742791985791986,0.854333333333333,0.768,0.753333333333333,0.748865079365079,0.808448412698413
"CD14.1",0.540966892378206,0.729349705849706,0.854666666666667,0.728,0.791666666666667,0.775603174603175,0.791611111111111
"GATA3",0.524399762404782,0.72626973026973,0.849,0.734,0.773333333333333,0.751376984126984,0.793047619047619
"PLAUR.2",0.543987641457845,0.726331612831613,0.851666666666667,0.716,0.8,0.769511904761905,0.784960317460317
"CCR2.8",0.548331427022123,0.733748584748585,0.869166666666667,0.726,0.798333333333333,0.785130952380952,0.790642857142857
"CCR2.9",0.550545752398852,0.734942723942724,0.864,0.734,0.796666666666667,0.773678571428571,0.799773809523809
"CD177.1",0.534314591168853,0.721566489066489,0.8585,0.708,0.801666666666667,0.780039682539683,0.782821428571429
