"Sample","IL10","SOCS3","BCL2","MYD88","MAPK14","HIF1A","IL1R2","HIF1A.1","ARG1","ARG1.1","BCL2.1","GATA3","Label"
"GSM3816544",8.86593806202546,12.1280923010614,8.07734649241783,13.0258918979201,11.6589186277259,10.080228392322,15.0335144718315,8.35254468111449,14.0470462064706,13.2798463362722,7.92862177792887,7.30476116459772,"septic shock"
"GSM3816545",7.55985769019903,11.6778220887703,8.09598402506135,12.8334606940775,11.5254414737183,10.1428639890147,14.519366828753,9.03373784637763,13.5907177637509,13.0738008229433,7.91465980649178,7.35219706883049,"septic shock"
"GSM3816547",7.66934835819591,11.5393192411432,7.71338144721787,12.9677899222873,10.8310813751026,9.51496949791314,13.4966838159522,8.41674166100819,13.5853613558326,12.926671326283,7.68318087797759,7.25096666635026,"septic shock"
"GSM3816548",7.08700248942586,9.60933701980519,8.16123727792916,11.9785864575551,9.77479705451769,9.60187268900111,10.3611144036122,8.62062212620983,13.3276356349125,12.1706658151705,8.15145725335182,7.54341088346756,"septic shock"
"GSM3816550",7.24237557358014,10.8043520909416,7.82991793796057,13.0060613158484,10.4186557114529,9.66129353603678,11.0657778205296,8.69952685383758,12.5992898477804,11.7545546836276,7.84148379292456,7.36110805330132,"septic shock"
"GSM3816551",7.45255251333369,12.2310440996435,7.28054561824941,13.716954635395,11.6184860332513,9.81965903618713,15.9078219778833,8.35950053971637,14.2909007534342,13.7432304263072,7.28028055601721,7.02588819209112,"septic shock"
"GSM3816554",8.63346771043715,12.5011666085846,7.53433136754272,13.3643435876663,11.5386213407404,9.43903776904358,14.6774007764143,8.43652666820653,13.7832070981349,12.7652020506568,7.60412010394855,7.16447411805661,"septic shock"
"GSM3816555",7.02163568950044,8.95699811898882,7.55437492386573,12.1831510217276,10.1652595733429,9.00503607940573,13.0817489932139,8.52550123776374,13.9229567157608,12.9598614432315,7.97474549560731,7.02498945336679,"septic shock"
"GSM3816556",7.54322543812952,11.7375551959811,8.03947009974164,13.147699455216,10.3735811740357,9.72838615410031,11.2661782342078,8.6258596710691,9.42649681725137,9.07035777866362,7.65007258546141,7.51352277445047,"septic shock"
"GSM3816557",8.52091835528738,11.8844602788766,7.47207692923419,12.5000211623276,10.7494248275669,10.0383986416765,14.244441634629,9.62365398152872,14.0167697529152,13.3259787310784,7.40901642844584,7.14421020621634,"septic shock"
"GSM3816560",8.23096500382809,11.5247861621688,7.16266685708021,12.1464293893093,11.0406284260627,10.3577079150763,14.9017447146956,9.25332015110119,15.3456049381228,14.4134545759486,7.24410013287515,7.06278043970337,"septic shock"
"GSM3816561",7.11208312698563,9.76972652194108,9.3623551752716,11.9870974108408,9.6405778245452,9.39648710622228,9.17476492026324,7.82403251707177,10.6598841832049,9.36493431611445,8.28258337874156,8.50065252732898,"septic shock"
"GSM3816562",8.10132307653339,13.0810376883992,7.28345048196158,12.3859357544187,10.8758366196019,10.8756262760543,14.0233054119461,9.57674937695528,13.7475536457298,12.8456569127726,7.36362778090339,7.06522681546385,"septic shock"
"GSM3816563",7.34322580216078,9.72253596056702,8.10878466757145,12.5189376673356,11.5407257659994,9.87742445722509,14.0080940733768,9.36599717144727,14.8510776689587,13.5035252526321,7.65660645262481,7.81698865189503,"septic shock"
"GSM3816565",7.68368978536627,11.6317927090603,7.66711971244057,12.8659706486512,11.2333643186681,10.1796721843166,13.6779337193134,9.38178268886302,14.4034869098929,13.3513614054168,7.76826082200914,7.36429490225603,"septic shock"
"GSM3816566",7.75945782300199,10.3858321031582,7.76342381670493,13.2658642459345,10.9542227860913,9.74607547490464,12.0010388863932,8.7212496349481,14.2467711607943,13.457114368031,7.61865170435046,7.6140504548383,"septic shock"
"GSM3816567",7.04805291742234,9.78312121093152,7.33496363499396,12.1159871635609,11.2044709273656,9.32430095382881,14.3497944673409,9.34214176537815,15.0512200090559,14.2557778089453,7.90341037556389,6.8854564104262,"septic shock"
"GSM3816568",7.36388269922688,9.87938349197147,8.10226625481574,12.5178686403562,10.3256981864808,8.67965090162421,10.6504515259462,8.02748338085808,11.5607374669161,10.7469352769451,8.33452047902768,7.65924342549149,"septic shock"
"GSM3816569",8.20107550555695,12.0446284284442,8.04793339469619,12.6106171149613,10.1134372522557,10.1527549845352,13.850036192267,9.24236355335266,13.8519601530434,13.0314635708816,7.61611061020079,7.2328475272203,"septic shock"
"GSM3816570",7.23957477047768,12.5189376673356,7.56709476077638,13.4489294756233,10.4456372850811,8.95581672938706,12.781613060336,8.83886643179182,12.7017044462785,12.2478595489063,7.12140770002685,7.46637978338897,"septic shock"
"GSM3816571",7.24366365959693,11.3703728049992,8.59035971567151,13.0621426749469,11.1206257002898,9.29547900601259,12.1377224903298,8.51475872531966,12.0810538671832,11.0379357038416,8.77058284633356,7.77536898359759,"septic shock"
"GSM3816572",7.09996430451862,9.79872717553365,8.12028082400005,12.291624243191,10.0479122348005,8.64746713625097,10.6462960155093,7.89157869372536,11.3660410258636,10.4121141890737,8.33083642139547,7.90311641186977,"septic shock"
"GSM3816573",7.19572053234381,9.9802809819243,8.28860306303745,12.4310158679135,9.49364764645573,9.80176691762568,11.1282459814794,8.16057887727846,12.0438178926398,11.1347943672752,8.03347857050281,7.70360668438882,"septic shock"
"GSM3816574",7.51582665849878,11.3728691034012,8.05754580266437,13.2414332306485,11.2461981612086,9.88280944465134,12.5971258656028,8.43893689833176,13.6483309906126,12.6496785655875,7.88482835310022,7.56644334663124,"septic shock"
"GSM3816575",7.08957798443346,11.1225564085722,7.65075997501167,13.1800499977341,10.4121141890737,9.16899117484674,10.5658576185398,8.55093891103751,12.8830594435103,12.0057429852318,7.5626316426061,7.42144104206855,"septic shock"
"GSM3816576",7.15299942033115,11.3190801465254,8.82141817206055,13.1056150987577,10.1441966769375,10.6417604725912,10.8734860045273,8.81043050006481,10.9771936747082,9.85659202877296,7.72377204296883,7.88114473050685,"septic shock"
"GSM3816577",7.6392771051111,11.2517963433801,7.43662372778289,13.0558935505164,11.5610917021898,10.2064724555739,14.3612268291517,9.51549491650625,14.7117267809036,13.4720102169222,7.66653752220531,7.39139030352562,"septic shock"
"GSM3816579",8.46907896381007,11.4468400551351,7.71988625921345,12.9342265302518,11.4455758268551,9.54331463030976,15.1241952871212,8.18305279466467,15.1950742062403,14.3612268291517,7.62165077092813,7.12272647193223,"septic shock"
"GSM3816580",8.53009543138454,11.9826235682437,7.38288883786802,12.4684794544844,11.7559989230509,9.83202513250861,14.6430149777514,8.66601624674652,14.2650725235647,13.1390365842413,7.47840031931326,6.94047929667565,"septic shock"
"GSM3816581",7.27266974375866,10.2353172957939,7.99788832083176,11.8652785100378,9.58794468616368,9.01243017370826,10.9308051440169,7.98725052788328,12.4834564518362,11.6262176003903,7.87657665571786,7.85363789495729,"septic shock"
"GSM3816582",8.16020150159846,11.5844533815688,7.26471498469164,12.3607120147513,11.3660410258636,9.7212644821544,15.1206784262359,9.12591226817987,14.6089061886762,14.1201390990111,7.39928994865902,6.92960286865193,"septic shock"
"GSM3816585",7.16291789742245,9.81930598584353,7.14607302659966,12.3300236294662,10.0238952971634,9.23732925665137,14.3024524154385,8.09052392344886,14.2305610881383,13.4307170027791,7.28775280637944,7.00389350818059,"septic shock"
"GSM3816586",7.64365549851447,11.4829127327985,8.39612139994387,12.6253085585111,10.4583131961757,9.15575236765211,11.9850274621279,8.28310309254087,12.5260597223576,11.8012534823769,8.22466763332474,7.65246926492723,"septic shock"
"GSM3816587",8.30155738197104,11.041196942141,7.17294912467595,12.1186745849562,11.1684895239709,10.2984032475748,14.2886323311625,8.50450027434788,15.1027978761768,13.9956764214647,7.3245463536487,7.26425727253392,"septic shock"
"GSM3816589",7.09800725283129,10.605425162362,7.36103911061429,12.2939571855211,11.1929453185367,9.29722017448965,14.1706177791491,9.43546229644292,14.1043975389062,13.3062218772349,7.77121117305277,7.01009263141728,"septic shock"
"GSM3816590",7.19560559991089,11.3861278094724,7.36941921451271,13.3562688189872,11.1536296527198,9.67894571214165,13.9515843310602,8.76482764274914,14.6008880596167,13.4238826737562,7.54533348537118,7.26302797823224,"septic shock"
"GSM3816592",8.02495695465088,11.9418718797996,7.2309541627153,12.8659706486512,11.7285013942631,9.38576025253153,15.5521428990471,8.20043893177892,14.3728782044014,13.7793146264788,7.46593719329125,7.16936999474531,"septic shock"
"GSM3816593",7.02911095759602,10.8714307447665,8.18412859278273,12.4550011026278,10.4405705459516,9.29237109182335,10.0907798994792,8.37949485912864,9.29632213307109,8.65489439415859,8.20378506216453,7.55887300019033,"septic shock"
"GSM3816594",8.82589001177051,11.7173546276567,7.57871419729017,13.1096620770042,11.7786978125689,9.75646760380637,13.4377684647062,9.17912931584393,13.9034748841187,13.0954689741037,7.80029797740321,7.20760916591437,"septic shock"
"GSM3816596",8.4237665609597,11.7501217999771,7.73447115262902,12.5958408518957,11.2759496119916,10.4136380778618,13.7134603291673,9.50902049132901,15.1169156275071,14.0050896294031,7.74417519486788,7.4742572079738,"septic shock"
"GSM3816597",7.69846049595266,10.4927346686891,7.82293315849551,12.575568592694,12.1156215058666,9.21060230123736,12.8558129361008,9.48059066111898,13.2553528117474,12.544033488701,8.25792496301792,7.64324862401585,"septic shock"
"GSM3816598",8.40119858470242,12.3810366140747,7.53362142786289,13.3177295084124,11.5371124603167,9.40213304012869,14.5168203206166,8.74412529390315,14.1382015217495,13.0503085935705,7.53821822378022,7.50612895690338,"septic shock"
"GSM3816599",7.10150965858307,11.1641173485531,7.31031938079913,12.5667156669772,10.8038335488893,9.02627984535268,13.5744321970534,9.13136540272592,13.2784833546504,12.3829049790962,7.53855897789707,7.2907008200749,"septic shock"
"GSM3816600",8.27447539997832,11.1681811660076,7.42128935484371,12.4867376989608,10.8977768151906,9.7425865247958,14.6430149777514,8.33717323677499,13.1203065370156,12.2709461719503,7.38756284212585,7.19444186528994,"septic shock"
"GSM3816601",7.12167117270283,10.341904543701,8.54122179240295,13.1506387602343,10.5332179846134,8.73982693703853,11.3509231573219,8.16939395191436,11.3651164738688,10.7091289675068,8.3254102685576,8.07729796520779,"septic shock"
"GSM3816602",7.60288245297436,11.2810014131973,7.97921097375135,12.6080418324609,11.4135545688195,10.0834484936628,12.9177598635841,9.30218304589427,13.5172275051133,12.5000211623276,8.04118714565954,7.42130764096856,"septic shock"
"GSM3816603",8.61112782230814,12.7781296352147,7.77774658914493,12.7993099591167,11.3127777750036,10.3735990779455,14.8953145606826,9.09927516792147,14.0858251077096,13.0696469741049,7.62951577836306,7.68105857653597,"septic shock"
"GSM3816605",9.02288467702224,12.1377224903298,7.63060186804188,12.5464551417689,11.7508913383646,10.1707274306852,15.2920781707033,9.35252851521332,15.2221209708002,14.7086130263713,7.55138062637225,7.23079247502204,"septic shock"
"GSM3816606",7.11682715666745,10.7996782603262,7.98726155818728,12.4133903392475,11.6095661302317,8.67467961963943,12.7467161879606,8.36855575595408,12.7062869432719,11.8112051727503,8.37158781450802,7.63180725194516,"septic shock"
"GSM3816610",7.44712937550879,10.9621284021542,7.50633365102519,12.5517476687744,9.84252909792139,9.03483039351444,13.0356441687467,8.50466806422919,13.3324075736495,12.7062869432719,7.42342131984479,7.15022512839672,"septic shock"
"GSM3816611",7.21255188799385,10.4837762610967,7.73674243108997,13.2736280827351,9.70671713810973,8.75429439677464,10.877004202477,7.64120023387885,10.5776412802469,9.61122227241688,7.59821375026847,7.84018269018842,"septic shock"
"GSM3816613",7.38593063030899,10.7601495536463,7.59602113030485,12.6542993278119,10.7853990848023,9.63096863713722,12.7903389778057,8.51866918868942,12.8672973657454,12.1930007579829,7.64557455222517,7.21245770520874,"septic shock"
"GSM3816614",8.30716239351549,11.4958477906287,7.62345407345007,12.4773755314316,9.81323567127911,9.34224994322622,12.7444462248145,8.28459023610349,13.6653155778374,13.4843293852574,7.09126807652406,7.35828533355162,"septic shock"
"GSM3816618",8.15526119871304,12.3031598779887,7.89509540303044,12.9773091462106,10.3656706344422,10.7989245083189,14.3632002344362,8.87730194325195,13.1742232399939,12.2664871470745,7.55584200440287,7.34773473389574,"septic shock"
"GSM3816619",7.70678619899475,12.3751009393517,7.47389318694271,12.4106055283168,10.5235866501658,11.2847784282052,14.761311762918,9.36391628192328,13.3259787310784,12.9177598635841,7.54087911601438,7.06868168487295,"septic shock"
"GSM3816620",7.07182421950517,10.2774182715808,7.65207241702721,12.1884366698724,9.85068733709418,9.97139075762412,12.754430340792,8.22258642819831,12.9612570388738,12.0002072634043,7.70849827257971,7.14406094642476,"septic shock"
"GSM3816621",7.24278229738274,10.6196856307916,7.78066330080151,12.8456569127726,10.6484305525567,10.4294545121251,14.9386876904537,8.43510964069336,13.2784833546504,12.2099732213803,7.72715148044075,7.32222689951816,"septic shock"
"GSM3816622",7.11445585620652,10.4530606927189,7.80625888382308,13.0532616660409,10.8579587659552,9.56688074231313,15.4033584983766,8.06256771110926,14.3452759262641,13.4910906613639,7.62833774482365,7.13463236511508,"septic shock"
"GSM3816624",7.19848729375068,10.9313666319472,8.10947376178903,12.9299385928098,10.312245065588,9.28945382031124,15.7428279398056,7.90471778038051,13.4720102169222,12.806821271021,7.92459355533307,7.55126807085281,"septic shock"
"GSM3816625",8.1012671810331,11.3317742748187,8.28284509568099,12.8977955512689,11.0526653258433,10.7873655389247,14.7703143728499,8.54248656758197,13.3852356023219,12.3390397176142,7.75611626492819,7.68756423927078,"septic shock"
"GSM3816629",9.11653759024551,12.2839214194188,7.91163630247724,13.0385447548464,12.0991458242178,10.0006071563679,13.1332356327121,8.21415695259167,13.6384401699387,12.452840435693,7.8598730064066,7.46839256264581,"septic shock"
"GSM3816630",7.04526620462894,10.4557794313229,8.12345425792077,12.9965159898483,11.0885910992525,9.54130332304961,14.029827338716,8.41358501021622,14.4583467483308,13.5137655540297,7.93079699182279,7.36944645547241,"septic shock"
"GSM3816631",7.48979016953743,10.2036179190903,8.32746249808676,12.8016796614028,10.7306130699232,8.89507396491429,10.3139946923867,8.15365818146982,12.2504882938896,11.6883153475312,8.07140726463114,7.99250428839002,"septic shock"
"GSM3816632",7.19603666978796,10.2989374656819,7.67145945215163,12.4953524178863,10.8072713218853,8.60566770599026,12.316521222819,8.59403604135639,12.8370303207101,12.3527570215846,8.24513246862188,7.16423295161932,"septic shock"
"GSM3816633",7.87309791694558,11.345812452794,7.83462914343449,12.9773091462106,11.0810219842908,10.2550164268662,11.2444790348909,9.40283914704045,12.8558129361008,12.6106171149613,7.82120735517834,7.685806560924,"septic shock"
"GSM3816634",7.71448275938724,11.4979271086345,7.59795672410698,12.7735505604007,11.1994435063362,9.2945974510938,14.8043295073442,8.99539317757401,14.5397840982645,13.716954635395,8.05622209788147,7.0899396345864,"septic shock"
"GSM3816635",7.97469171596693,11.1379103151924,7.70356258082552,12.8306404180646,11.9029554009034,9.27700974829621,14.4134545759486,7.92724480708193,13.5798699479867,12.6620107616753,7.77976503315555,6.9833353221809,"septic shock"
"GSM3816636",7.21082878125161,9.73224396080039,8.3316781547947,12.6578915679392,10.5647461128107,8.72279258318563,11.9200911767184,7.91379866163743,12.0568225134528,11.055333822872,8.07269530069039,8.06969742372542,"septic shock"
"GSM3816637",8.66003248474306,12.2911480858157,7.65982492383368,13.1624887643599,11.0004438956343,10.0474209402813,13.9135220722466,8.2443976581453,13.7208636837927,12.8811736872479,7.39795578978323,7.26756313803406,"septic shock"
"GSM3816638",7.52475170763577,12.838295410493,7.12343822978771,13.048840811344,11.2574088620896,9.92300609069809,14.1929988391459,9.43763272920934,12.4341607884479,11.8281337889062,7.23112578265865,6.99225230910401,"septic shock"
"GSM3816639",7.41834762624529,11.4705694013262,7.65992062162271,12.609294825662,10.2372568376488,10.1639779115733,11.7775631193819,9.7492894239629,13.2629110015486,12.5695030421101,7.72377204296883,7.49199631068744,"septic shock"
"GSM3816640",6.99654846387882,9.99995673502707,7.28268569724105,11.3211974387347,9.56434566185533,8.63824900020763,10.1514485948149,8.20750511779107,11.8362098035538,10.9943870595117,7.63712842035347,7.14751793644475,"septic shock"
"GSM3816642",7.60036240015257,11.4678936444541,7.40154597176759,12.4290213592314,10.1344868886104,10.1455681555226,14.499912767325,8.76883417497774,15.0875326565232,14.476314109597,7.1321099392447,7.02089954027998,"septic shock"
"GSM3816649",8.2592236088782,11.3008598471421,7.55769571378979,12.0259773352584,10.8508345370465,10.1326194059366,14.9893455810664,9.19103666653318,14.7883344845512,13.9601956938447,7.58238718517632,6.87970314977277,"septic shock"
"GSM3816650",7.25446984032226,11.0832371177474,7.48559382181741,12.7699706929092,11.3102801767966,9.52317902059817,14.4456655614603,8.4327945376732,12.978728364713,12.0333954127865,7.62591981563122,7.23496878331771,"septic shock"
"GSM3816651",8.01855065486811,10.9475933335312,7.98972743546757,12.8184342560593,10.877004202477,10.2769603423772,14.7295105112108,8.9067886247676,14.9282038361479,14.3001823543501,7.73226461953754,7.370190920096,"septic shock"
"GSM3816653",7.5051939327514,11.0672219955027,7.42988789653845,12.786606462459,10.9499514446324,9.07528243669756,11.6534771601166,8.20735995373236,13.1110490425006,11.9305511894078,7.37453372163609,7.30335624610947,"septic shock"
"GSM3816654",7.32404554522134,10.9727752528682,7.55517906557623,12.9920670495157,11.0199697104147,9.10941947686539,13.7188910666124,8.75266227196137,11.8556126642061,11.2855665422687,7.79912544044486,7.28340530776782,"septic shock"
"GSM3816655",9.04003948564403,11.4678936444541,7.59198669520143,12.9690625831785,10.5866973105168,9.75050093924047,14.1176899870323,8.48223165612963,13.8613785949069,13.466762639471,7.44295071719325,7.21508701001143,"septic shock"
"GSM3816656",7.52859408495999,9.46554767080295,7.58337697379986,12.200454323449,9.90388907821805,8.65134352428511,11.6545805772452,8.05386747455559,12.1096250645437,11.6786036118154,7.36490824408321,7.19979420057426,"septic shock"
"GSM3816657",7.72315639667666,11.4099862875776,7.54377856213859,11.821492433556,10.4992303200332,9.79856440247962,12.978728364713,8.81575972641333,13.4442654987411,12.6205822898487,7.7885776830041,7.05125536317487,"septic shock"
"GSM3816658",6.93328121954938,8.29656571144113,9.35016501560457,12.9064323633105,9.42154257654775,9.17410673694308,10.355785677699,8.50065252732898,8.53475204065299,8.07104318358718,8.95572599759597,8.78195980936345,"control patient"
"GSM3816659",6.93091132994961,8.04598344055505,9.6934256852467,12.2115864877283,8.60823324191772,8.74109952786167,9.27001891911315,7.928181719858,7.45138823832651,7.5111680437291,9.0580533575015,8.57064730103641,"control patient"
"GSM3816660",6.8870794645731,7.89953913902568,9.28227704261424,11.9098379930867,8.78485313811945,8.96096025355764,9.48683369718547,7.95226221582424,8.24335309030288,7.80882239929808,8.84572096077408,8.95013699146449,"control patient"
"GSM3816661",6.9418602961803,8.26538138230564,8.94390423225497,12.2199085505397,8.83657438457607,9.01367395955535,9.30102743962758,8.05946059720988,8.58038994166753,8.13418915030812,8.50484294171752,8.75501769600209,"control patient"
"GSM3816662",6.94853880246645,8.49238379080576,8.7425295749503,11.8857123127801,9.30251734399414,9.03409714694338,9.06685258308497,8.20609093967182,8.55290010980242,7.8329112690482,8.86030680577704,9.16504779976678,"control patient"
"GSM3816663",6.98827651951343,8.19782877333187,10.0659008060554,11.5293354053475,7.95886159288146,8.95193326073355,8.16802979647536,7.6919261491343,8.24808583087461,7.95886159288146,8.63706029121455,9.25484654206685,"control patient"
"GSM3816664",6.97187234210518,8.36225429660104,10.128756320129,11.8156185736913,8.26723609083273,9.19222369014719,8.42932187220615,8.14697724598718,7.97884061508184,7.80124580361735,8.62882568750259,9.31668891897999,"control patient"
"GSM3816665",6.9398929957421,8.34434613078042,9.40452797308235,12.0871799383646,8.71671133946655,9.19039094267647,9.55680220108116,8.1547479316319,8.40305772099052,8.18108461267437,8.67474943388459,8.70523723594342,"control patient"
"GSM3816666",6.91833229096926,8.53439551198173,9.55004792912874,12.2144275466615,8.55184693367177,9.84277376022288,9.44888221987353,8.44136979686665,8.00130252361208,7.94518384211271,8.58053310370341,9.56761763556532,"control patient"
"GSM3816667",6.92707057647031,8.19359932996115,9.52023567068959,12.3598654620646,8.75273569092591,9.88721540598033,9.14495679962441,8.4175914354266,8.11373401972667,7.80363563455448,8.74680254450126,8.69378562324036,"control patient"
"GSM3816668",6.93063171283912,7.60722820940278,9.3415389013762,12.2524299662922,8.41241603523838,9.35161386027005,9.30566609391847,7.87298370871043,7.91430900744277,7.70247611281606,8.62610012579369,9.19324830830037,"control patient"
"GSM3816669",6.94974075186365,8.74513975394115,9.01912734673871,12.0828707882121,9.19164779310383,9.5226225093098,9.82927880851217,8.39053261982811,8.79906453650326,8.50432586124345,8.7754814148582,8.88145962193619,"control patient"
"GSM3816670",6.90608726889771,8.38821471362089,9.68149760840676,12.1104004166803,8.88784064674715,9.04262551022436,9.04963509720782,8.05020791996484,8.2346106170076,7.98022662203136,8.89448085230873,9.15687279142088,"control patient"
"GSM3816671",6.96811580013768,9.29406780704363,9.33135932260349,12.7171841075877,9.40143333837332,9.35932818677913,9.91521072269159,8.41295088698341,10.188126729153,9.47574463829972,8.49340822450548,8.86959841955179,"control patient"
"GSM3816672",6.94699807395674,8.21520109757373,9.57364630029552,12.0337609461708,8.44960676143023,8.62377258330597,8.4291221777341,7.89114890851392,8.26851622256486,8.01132492248536,8.75987614471772,9.20513113365167,"control patient"
